class_name,label
Apple___Aphid,0
Apple___Apple_Scab,1
Apple___Black_Rot,2
Apple___Brown_Rot,3
Apple___Cedar_Apple_Rust,4
Apple___Healthy,5
Apple___Woolly_Apple_Aphid,6
Apricot___Brown_Rot,7
Apricot___Coryneum_Blight,8
Blueberry___Healthy,9
Cherry___Aphid,10
Cherry___Healthy,11
Cherry___Powdery_Mildew,12
Corn___Cassava_Brown_Leaf_Spot,13
Corn___Cassava_Healthy,14
Corn___Cassava_Mosaic,15
Corn___Cassava_Root_Rot,16
Corn___Cercospora_Leaf_Spot,17
Corn___Common_Rust,18
Corn___Corn_Brown_Spots,19
Corn___Corn_Healthy,20
Corn___Corn_Streak,21
Corn___Corn_Stripe,22
Corn___Corn_Yellowing,23
Corn___Corn_leaf_blight,24
Corn___Healthy,25
Corn___Northern_Leaf_Blight,26
Corn___Tomato_Brown_Spots,27
Corn___Tomato_blight_leaf,28
Corn___Tomato_leaf_yellow_virus,29
General___Cancer_Symptom,30
General___Drying_Symptom,31
Grape___Black_Rot,32
Grape___Esca,33
Grape___Healthy,34
Grape___Leaf_Blight,35
Orange___Citrus_Greening,36
Peach___Bacterial_Spot,37
Peach___Brown_Rot,38
Peach___Healthy,39
Peach___Scale_Insect,40
Pear___Fire_Blight,41
Pepper___Bacterial_Spot,42
Pepper___Healthy,43
Plum___Aphid,44
Potato___Early_Blight,45
Potato___Healthy,46
Potato___Late_Blight,47
Raspberry___Healthy,48
Soybean___Healthy,49
Squash___Powdery_Mildew,50
Strawberry___Healthy,51
Strawberry___Leaf_Scorch,52
Tomato___Bacterial_Spot,53
Tomato___Early_Blight,54
Tomato___Healthy,55
Tomato___Late_Blight,56
Tomato___Leaf_Mold,57
Tomato___Mosaic_Virus,58
Tomato___Septoria_Leaf_Spot,59
Tomato___Spider_Mites,60
Tomato___Target_Spot,61
Tomato___Yellow_Leaf_Curl_Virus,62
Walnut___Erineum_Mite,63
Walnut___Gnomonia_Leaf_Spot,64
